32.0	32.0	31.0	39.0	0.643	3.439	0.663129	0.287988	1	2	2
31.0	22.0	30.0	33.0	0.893	0.524	0.439096	11.7933	2	1	1
31.0	33.0	30.0	39.0	0.54	0.7363	0.515323	0.66406	2	1	2
31.0	27.0	30.0	37.0	0.735	0.438	16.9225	17.2708	3	1	2
32.0	24.0	30.0	36.0	2.525	0.5	2.17064	0.340883	2	1	1
33.0	24.0	33.0	29.0	0.839	1.089	1.60687	0.616545	0	2	2
33.0	26.0	30.0	33.0	1.517	0.666	0.483696	0.503581	2	1	2
32.0	25.0	33.0	29.0	2.644	1.78	0.175006	0.218701	1	2	4
33.0	24.0	31.0	31.0	1.813	2.382	0.161184	0.164555	1	2	2
31.0	23.0	31.0	33.0	1.001	2.419	0.552274	0.663998	3	2	3
33.0	24.0	30.0	37.0	0.936	1.6094	0.460549	0.782029	3	2	2
34.0	24.0	32.0	25.0	1.033	0.5246	3.5126	3.89227	2	2	2
32.0	21.0	31.0	29.0	2.376	2.019	0.213782	0.466947	2	2	2
32.0	28.0	32.0	41.0	1.018	2.539	4.58889	0.180944	2	1	1
33.0	24.0	30.0	29.0	3.078	1.679	0.964733	0.207018	2	1	2
30.0	34.0	30.0	38.0	2.139	0.736	0.225757	3.5268	1	1	1
31.0	32.0	29.0	38.0	1.305	0.907	0.303148	0.429125	2	1	1
33.0	28.0	28.0	27.0	2.667	0.846	0.512372	6.61888	2	1	1
35.0	37.0	33.0	39.0	2.0	1.303	0.311562	0.651066	2	1	2
32.0	31.0	33.0	42.0	1.09	2.7708	0.429201	0.752785	2	2	1
34.0	26.0	31.0	34.0	1.91	0.567	0.207729	0.90921	1	1	3
34.0	26.0	32.0	27.0	3.407	2.8115	0.420807	0.399515	2	2	2
33.0	24.0	30.0	33.0	0.936	0.403	1.33685	0.583495	1	2	2
33.0	28.0	33.0	38.0	2.316	2.801	0.24695	0.196036	1	1	3
34.0	27.0	32.0	37.0	1.2449	0.684	2.1675	0.310516	3	1	1
34.0	22.0	33.0	32.0	2.129	0.677	0.371711	0.51323	2	2	2
31.0	22.0	30.0	25.0	0.517	0.523	0.480455	30.7644	3	1	2
33.0	33.0	30.0	39.0	0.58	1.772	0.882902	0.114166	1	2	3
32.0	28.0	31.0	40.0	1.948	2.1375	0.182079	0.645504	1	2	3
31.0	37.0	29.0	41.0	0.3459	0.702	18.2646	0.697777	1	1	1
31.0	30.0	29.0	38.0	1.285	0.742	0.0925014	5.58977	1	1	1
31.0	29.0	28.0	37.0	2.667	0.729	0.512372	0.33973	2	2	3
