32.0	40.0	30.0	44.0	0.701	2.1336	1.00573	0.333094	2	1	1
30.0	34.0	30.0	44.0	0.666	2.294	7.40094	0.33879	2	1	1
31.0	15.0	30.0	35.0	0.556	1.182	0.358704	1.09956	5	1	4
34.0	15.0	31.0	15.0	0.906	1.03	0.632149	1.56569	2	2	2
33.0	7.0	31.0	25.0	1.365	1.526	0.96867	1.12573	2	1	3
31.0	17.0	30.0	59.0	0.593	0.4253	0.420784	7.90333	2	0	1
32.0	21.0	30.0	27.0	1.202	1.3527	1.08992	0.435287	3	1	3
33.0	7.0	30.0	40.0	0.86	1.274	0.86388	0.384123	2	1	3
33.0	33.0	33.0	41.0	0.943	0.887	2.76188	1.27341	3	1	2
32.0	19.0	29.0	46.0	0.648	2.753	16.3383	0.561781	3	1	2
32.0	3.0	29.0	28.0	1.088	1.023	6.32744	1.5099	2	1	1
33.0	16.0	32.0	44.0	1.6121	1.301	0.669325	1.00731	1	2	4
31.0	26.0	29.0	31.0	0.346	1.044	1.84528	0.681857	2	2	4
32.0	20.0	30.0	38.0	0.599	0.4076	0.864241	4.73522	2	1	1
32.0	43.0	30.0	48.0	2.0799	2.5554	0.467637	0.485969	4	3	3
32.0	13.0	30.0	26.0	0.334	1.018	1.00743	2.80619	2	1	2
31.0	12.0	29.0	53.0	0.636	2.0249	1.14464	0.635626	2	1	2
29.0	33.0	30.0	37.0	0.454	1.764	2.06595	2.01342	3	1	2
33.0	34.0	30.0	36.0	0.736	0.665	3.96415	5.79587	2	1	1
31.0	24.0	29.0	28.0	2.231	0.473	0.989564	6.21512	1	1	1
31.0	45.0	30.0	39.0	2.113	0.72	0.127927	2.12995	3	1	1
32.0	30.0	30.0	46.0	0.204	1.544	0.537842	0.757555	2	1	2
33.0	19.0	31.0	49.0	0.67	1.755	38.3015	0.22039	2	2	2
33.0	28.0	31.0	43.0	2.648	0.3321	0.0991328	1.85003	1	1	1
35.0	41.0	32.0	59.0	1.687	1.222	0.525717	2.31197	1	1	1
31.0	15.0	30.0	41.0	1.191	2.582	0.499022	0.363249	4	1	5
30.0	33.0	30.0	34.0	2.536	0.968	0.878338	2.34043	2	1	2
30.0	16.0	30.0	27.0	0.677	1.065	0.761829	1.34041	2	1	2
33.0	21.0	33.0	15.0	0.538	0.734	1.22867	81.7048	2	1	1
32.0	16.0	30.0	55.0	0.708	1.178	0.623655	2.49563	1	1	1
32.0	19.0	30.0	36.0	1.299	1.844	0.334642	0.35169	2	1	3
36.0	7.0	31.0	29.0	0.594	2.441	1.16579	0.909914	3	1	2
32.0	10.0	29.0	31.0	0.962	0.707	0.655064	1.27526	2	2	2
32.0	30.0	31.0	52.0	1.591	0.171	0.557922	99.2958	1	1	4
29.0	20.0	31.0	42.0	2.461	0.591	0.240533	1.62175	1	1	2
33.0	47.0	33.0	41.0	0.158	0.951	2.31267	1.27012	2	2	2
29.0	23.0	31.0	41.0	1.017	1.037	0.602563	4.54489	2	1	1
33.0	20.0	31.0	32.0	0.8479	2.4487	2.28156	0.903286	2	1	2
33.0	19.0	32.0	36.0	1.7245	0.736	0.605675	3.5268	2	1	2
31.0	25.0	29.0	45.0	0.403	1.263	0.583495	0.318942	2	2	2
33.0	23.0	33.0	28.0	3.078	1.911	0.964733	1.01444	3	1	2
33.0	12.0	31.0	48.0	0.323	0.573	0.799366	1.63987	2	2	2
34.0	36.0	31.0	43.0	1.5225	1.897	1.77957	0.61167	3	1	2
33.0	16.0	30.0	20.0	0.622	1.536	16.1072	0.416352	1	1	1
31.0	9.0	6.0	33.0	1.439	0.689	0.493007	1.3421	4	0	4
33.0	38.0	31.0	63.0	0.855	0.278	0.4034	5.83402	1	0	1
33.0	25.0	32.0	17.0	0.738	0.741	11.6073	1.88461	2	1	3
32.0	34.0	29.0	34.0	1.931	0.323	1.06427	0.799366	1	1	1
31.0	32.0	31.0	40.0	0.654	0.53	0.758551	8.05862	2	1	1
33.0	26.0	33.0	43.0	1.122	0.344	0.649196	2.66738	2	1	2
33.0	23.0	31.0	36.0	0.714	0.6762	0.50672	1.50217	2	1	2
31.0	34.0	30.0	44.0	1.27	0.594	0.58613	1.16579	3	2	3
30.0	24.0	30.0	30.0	0.6762	0.678	1.50217	4.70629	2	1	2
